freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
7.58577575042213859E1	1.38184729281994101E-3
7.76247116642071511E1	1.38184726398535163E-3
7.94328234738020278E1	1.38184724833102113E-3
8.12830516178206608E1	1.38184714521453378E-3
8.31763771117156558E1	1.38184708532196954E-3
8.51138038217250070E1	1.38184707649013472E-3
8.70963589971352725E1	1.38184703454084978E-3
8.91250938149426375E1	1.38184693727882735E-3
9.12010839372010373E1	1.38184688609661110E-3
9.33254300813522342E1	1.38184685962810461E-3
9.54992586038409286E1	1.38184680614922617E-3
9.77237220973237797E1	1.38184675140149449E-3
1.00000000001789258E2	1.38184666001321999E-3
1.02329299229912452E2	1.38184655872094986E-3
1.04712854806976030E2	1.38184653637910859E-3
1.07151930525697048E2	1.38184643604715562E-3
1.09647819616306541E2	1.38184637852067382E-3
1.12201845432237390E2	1.38184625423863716E-3
1.14815362151783718E2	1.38184621606505798E-3
1.17489755496104209E2	1.38184612495446557E-3
1.20226443463949817E2	1.38184599655540552E-3
1.23026877083505459E2	1.38184592424813601E-3
1.25892541181744355E2	1.38184578660264656E-3
1.28824955171702937E2	1.38184570937616136E-3
1.31825673858093784E2	1.38184557279319131E-3
1.34896288261683628E2	1.38184542734560578E-3
1.38038426462873653E2	1.38184533986802149E-3
1.41253754464929249E2	1.38184527036071314E-3
1.44543977077317010E2	1.38184508745496504E-3
1.47910838819617285E2	1.38184492261976710E-3
1.51356124846491524E2	1.38184480066910331E-3
1.54881661894194922E2	1.38184463977737737E-3
1.58489319249136229E2	1.38184445173065296E-3
1.62181009738998005E2	1.38184429581020862E-3
1.65958690746943271E2	1.38184409403943076E-3
1.69824365249446041E2	1.38184390843592353E-3
1.73780082878295694E2	1.38184374090103868E-3
1.77827941007339274E2	1.38184350247043430E-3
1.81970085864536446E2	1.38184330599682870E-3
1.86208713669918380E2	1.38184306581914118E-3
1.90546071800052319E2	1.38184282125060509E-3
1.94984459979630609E2	1.38184258264644977E-3
1.99526231500815032E2	1.38184231611595654E-3
2.04173794470983649E2	1.38184211298569304E-3
